Month of Order Date	Category	Country/Region	State	Sales	City	Customer ID	Customer Name	Number of Records	Order Date	Order ID	Postal Code	Product ID	Product Name	Profit	Quantity	Quantity (bin)	Region	Row ID	Sales Agent ID	Ship Date	Ship Mode	Sub-Category
October 2016	Furniture	United States	California	$433.57	Pasadena	HA-14920	Helen Andreada	1	10/11/2016	CA-157924-2016_10_11	91104	FUR-CH-10000229	Global Enterprise Series Seating High-Back Swivel/Tilt Chairs	$130	2	2	West	4169	4	10/13/2016	First Class	Chairs
December 2016	Furniture	United States	Arizona	$51.97	Tucson	CT-11995	Carol Triggs	1	12/20/2016	CA-138681-2016_12_20	85705	FUR-FU-10001876	"Computer Room Manger, 14"""	$16	2	2	West	4690	2	12/22/2016	First Class	Furnishings
December 2016	Furniture	United States	California	$44.46	Los Angeles	CC-12100	Chad Cunningham	1	12/16/2016	CA-136399-2016_12_16	90049	FUR-FU-10004090	"Executive Impressions 14"" Contract Wall Clock"	$13	2	2	West	3129	4	12/17/2016	First Class	Furnishings
February 2016	Furniture	United States	Nevada	$14.56	North Las Vegas	NM-18445	Nathan Mautz	1	2/8/2016	CA-125759-2016_02_08	89031	FUR-FU-10002111	Master Caster Door Stop, Large Brown	$4	2	2	West	9267	27	2/9/2016	First Class	Furnishings
November 2016	Furniture	United States	California	$305.97	Los Angeles	JD-16150	Justin Deggeller	1	11/16/2016	CA-119144-2016_11_16	90008	FUR-BO-10004015	Bush Andora Bookcase, Maple/Graphite Gray Finish	$92	3	2	West	8710	4	11/18/2016	First Class	Bookcases
December 2016	Furniture	United States	Arizona	$242.35	Tucson	CT-11995	Carol Triggs	1	12/20/2016	CA-138681-2016_12_20	85705	FUR-CH-10004860	Global Low Back Tilter Chair	$73	3	2	West	4692	2	12/22/2016	First Class	Chairs
September 2016	Furniture	United States	California	$585.55	San Diego	KF-16285	Karen Ferguson	1	9/26/2016	CA-132451-2016_09_26	92105	FUR-CH-10000454	Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back	$176	3	2	West	5469	4	9/27/2016	First Class	Chairs
November 2016	Furniture	United States	California	$10.11	Los Angeles	SS-20410	Shahid Shariari	1	11/15/2016	CA-127558-2016_11_15	90008	FUR-FU-10002505	Eldon 100 Class Desk Accessories	$3	3	2	West	5018	4	11/18/2016	First Class	Furnishings
July 2016	Furniture	United States	California	$43.02	San Diego	CC-12145	Charles Crestani	1	7/20/2016	CA-141726-2016_07_20	92105	FUR-FU-10003577	Nu-Dell Leatherette Frames	$13	3	2	West	5972	4	7/22/2016	First Class	Furnishings
November 2016	Furniture	United States	California	$151.72	San Diego	VG-21790	Vivek Gonzalez	1	11/24/2016	CA-158540-2016_11_24	92037	FUR-FU-10001602	"Eldon Delta Triangular Chair Mat, 52"" x 58"", Clear"	$46	4	4	West	1011	4	11/26/2016	First Class	Furnishings
January 2016	Furniture	United States	Arizona	$181.47	Scottsdale	TS-21340	Toby Swindell	1	1/19/2016	CA-146591-2016_01_19	85254	FUR-BO-10001972	O'Sullivan 4-Shelf Bookcase in Odessa Pine	$54	5	4	West	5466	2	1/20/2016	First Class	Bookcases
November 2016	Furniture	United States	California	$603.92	Los Angeles	SC-20095	Sanjit Chand	1	11/23/2016	US-157385-2016_11_23	90004	FUR-CH-10000863	Novimex Swivel Fabric Task Chair	$181	5	4	West	1571	4	11/25/2016	First Class	Chairs
June 2016	Furniture	United States	California	$447.84	Los Angeles	NS-18640	Noel Staavos	1	6/25/2016	CA-159338-2016_06_25	90049	FUR-TA-10004147	Hon 4060 Series Tables	$134	5	4	West	1098	4	6/28/2016	First Class	Tables
October 2016	Furniture	United States	California	$617.00	Los Angeles	TS-21370	Todd Sumrall	1	10/28/2016	CA-101931-2016_10_28	90049	FUR-BO-10001337	O'Sullivan Living Dimensions 2-Shelf Bookcases	$185	6	6	West	3846	4	10/31/2016	First Class	Bookcases
September 2016	Furniture	United States	California	$41.88	San Francisco	VP-21760	Victoria Pisteka	1	9/6/2016	CA-130449-2016_09_06	94109	FUR-FU-10001487	Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood	$13	6	6	West	6623	4	9/9/2016	First Class	Furnishings
May 2016	Furniture	United States	Washington	$12.18	Seattle	BS-11365	Bill Shonely	1	5/4/2016	US-148194-2016_05_04	98105	FUR-FU-10001852	Eldon Regeneration Recycled Desk Accessories, Smoke	$4	7	6	West	7999	46	5/7/2016	First Class	Furnishings
February 2016	Furniture	United States	Texas	$25.16	Lubbock	TB-21595	Troy Blackwell	1	2/18/2016	US-165589-2016_02_18	79424	FUR-FU-10002396	DAX Copper Panel Document Frame, 5 x 7 Size	$8	5	4	Central	6082	42	2/18/2016	Same Day	Furnishings
May 2016	Furniture	United States	Connecticut	$27.46	Middletown	AA-10480	Andrew Allen	1	5/4/2016	CA-155271-2016_05_04	06457	FUR-FU-10001473	DAX Wood Document Frame	$8	2	2	East	1460	6	5/4/2016	Same Day	Furnishings
November 2016	Furniture	United States	Ohio	$611.06	Columbus	MY-18295	Muhammed Yedwab	1	11/24/2016	CA-105984-2016_11_24	43229	FUR-CH-10000847	Global Executive Mid-Back Manager's Chair	$183	3	2	East	3835	34	11/24/2016	Same Day	Chairs
September 2016	Furniture	United States	New York	$887.10	New York City	BS-11365	Bill Shonely	1	9/19/2016	CA-168130-2016_09_19	10011	FUR-CH-10000988	Hon Olson Stacker Stools	$266	7	6	East	4251	31	9/19/2016	Same Day	Chairs
September 2016	Furniture	United States	New York	$464.29	New York City	DM-13015	Darrin Martin	1	9/14/2016	CA-160766-2016_09_14	10009	FUR-TA-10001039	KI Adjustable-Height Table	$139	9	8	East	5125	31	9/14/2016	Same Day	Tables
November 2016	Furniture	United States	Virginia	$149.90	Hampton	BG-11035	Barry Gonzalez	1	11/5/2016	US-114377-2016_11_05	23666	FUR-CH-10004754	Global Stack Chair with Arms, Black	$45	5	4	South	9787	45	11/5/2016	Same Day	Chairs
July 2016	Furniture	United States	Florida	$129.89	Apopka	CK-12205	Chloris Kastensmidt	1	7/28/2016	CA-131541-2016_07_28	32712	FUR-FU-10003623	DataProducts Ampli Magnifier Task Lamp, Black,	$39	6	6	South	5688	9	7/28/2016	Same Day	Furnishings
March 2016	Furniture	United States	Florida	$1,125.49	Tampa	TG-21640	Trudy Glocke	1	3/31/2016	CA-130428-2016_03_31	33614	FUR-CH-10002965	Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black	$338	7	6	South	9566	9	3/31/2016	Same Day	Chairs
October 2016	Furniture	United States	California	$122.35	Manteca	TN-21040	Tanja Norvell	1	10/10/2016	CA-140403-2016_10_10	95336	FUR-CH-10002774	Global Deluxe Stacking Chair, Gray	$37	3	2	West	4533	4	10/10/2016	Same Day	Chairs
September 2016	Furniture	United States	Washington	$14.19	Seattle	RP-19390	Resi Pšlking	1	9/13/2016	CA-142769-2016_09_13	98103	FUR-FU-10001918	C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings	$4	3	2	West	8652	46	9/13/2016	Same Day	Furnishings
November 2016	Furniture	United States	California	$411.33	San Francisco	DH-13675	Duane Huffman	1	11/28/2016	CA-105249-2016_11_28	94122	FUR-BO-10000330	Sauder Camden County Barrister Bookcase, Planked Cherry Finish	$123	4	4	West	5495	4	11/28/2016	Same Day	Bookcases
July 2016	Furniture	United States	Arizona	$259.14	Tucson	AH-10120	Adrian Hane	1	7/18/2016	CA-123295-2016_07_18	85705	FUR-CH-10002372	Office Star - Ergonomically Designed Knee Chair	$78	4	4	West	2103	2	7/18/2016	Same Day	Chairs
April 2016	Furniture	United States	California	$187.76	Los Angeles	PS-18970	Paul Stevenson	1	4/15/2016	US-120740-2016_04_15	90049	FUR-FU-10004091	"Howard Miller 13"" Diameter Goldtone Round Wall Clock"	$56	4	4	West	7658	4	4/15/2016	Same Day	Furnishings
February 2016	Furniture	United States	Missouri	$60.89	Columbia	GA-14725	Guy Armstrong	1	2/11/2016	CA-168368-2016_02_11	65203	FUR-CH-10001146	Global Value Mid-Back Manager's Chair, Gray	$18	1	0	Central	9255	24	2/15/2016	Second Class	Chairs
August 2016	Furniture	United States	Illinois	$421.37	Chicago	CR-12730	Craig Reiter	1	8/20/2016	CA-166716-2016_08_20	60610	FUR-CH-10004495	Global Leather and Oak Executive Chair, Black	$126	2	2	Central	5800	12	8/25/2016	Second Class	Chairs
May 2016	Furniture	United States	Texas	$107.77	Houston	KH-16360	Katherine Hughes	1	5/21/2016	CA-127166-2016_05_21	77070	FUR-CH-10003396	Global Deluxe Steno Chair	$32	2	2	Central	9793	42	5/23/2016	Second Class	Chairs
November 2016	Furniture	United States	Texas	$155.37	Houston	DK-12835	Damala Kotsonis	1	11/23/2016	US-143721-2016_11_23	77095	FUR-CH-10001973	Office Star Flex Back Scooter Chair with White Frame	$47	2	2	Central	7266	42	11/26/2016	Second Class	Chairs
October 2016	Furniture	United States	Texas	$5.31	Houston	EB-14170	Evan Bailliet	1	10/17/2016	CA-103086-2016_10_17	77095	FUR-FU-10004586	G.E. Longer-Life Indoor Recessed Floodlight Bulbs	$2	2	2	Central	9558	42	10/19/2016	Second Class	Furnishings
April 2016	Furniture	United States	Texas	$401.59	Houston	SV-20365	Seth Vernon	1	4/20/2016	CA-134572-2016_04_20	77070	FUR-TA-10004442	Riverside Furniture Stanwyck Manor Table Series	$120	2	2	Central	5078	42	4/22/2016	Second Class	Tables
October 2016	Furniture	United States	Illinois	$258.28	Evanston	BP-11290	Beth Paige	1	10/3/2016	CA-153976-2016_10_03	60201	FUR-CH-10002880	Global High-Back Leather Tilter, Burgundy	$77	3	2	Central	1351	12	10/8/2016	Second Class	Chairs
December 2016	Furniture	United States	Texas	$674.06	Houston	MC-17605	Matt Connell	1	12/1/2016	US-161613-2016_12_01	77070	FUR-CH-10003746	Hon 4070 Series Pagoda Round Back Stacking Chairs	$202	3	2	Central	4905	42	12/3/2016	Second Class	Chairs
February 2016	Furniture	United States	Missouri	$332.94	Columbia	GA-14725	Guy Armstrong	1	2/11/2016	CA-168368-2016_02_11	65203	FUR-FU-10002298	"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle"	$100	3	2	Central	9258	24	2/15/2016	Second Class	Furnishings
September 2016	Furniture	United States	Oklahoma	$57.69	Tulsa	TB-21400	Tom Boeckenhauer	1	9/7/2016	CA-131002-2016_09_07	74133	FUR-FU-10004270	"Executive Impressions 13"" Clairmont Wall Clock"	$17	3	2	Central	2646	35	9/12/2016	Second Class	Furnishings
December 2016	Furniture	United States	Texas	$23.98	Houston	LF-17185	Luke Foster	1	12/6/2016	CA-110030-2016_12_06	77095	FUR-FU-10002759	12-1/2 Diameter Round Wall Clock	$7	3	2	Central	2720	42	12/8/2016	Second Class	Furnishings
May 2016	Furniture	United States	Texas	$10.33	San Marcos	MC-17590	Matt Collister	1	5/20/2016	CA-130673-2016_05_20	78666	FUR-FU-10003489	Contemporary Borderless Frame	$3	3	2	Central	8581	42	5/22/2016	Second Class	Furnishings
June 2016	Furniture	United States	Illinois	$268.94	Aurora	NR-18550	Nick Radford	1	6/7/2016	CA-106229-2016_06_07	60505	FUR-TA-10002041	Bevis Round Conference Table Top, X-Base	$81	3	2	Central	4722	12	6/11/2016	Second Class	Tables
September 2016	Furniture	United States	Texas	$9.96	Corpus Christi	SC-20260	Scott Cohen	1	9/14/2016	US-127635-2016_09_14	78415	FUR-FU-10000550	Stacking Trays by OIC	$3	5	4	Central	8435	42	9/18/2016	Second Class	Furnishings
April 2016	Furniture	United States	Texas	$744.10	Houston	SV-20365	Seth Vernon	1	4/20/2016	CA-134572-2016_04_20	77070	FUR-TA-10001705	Bush Advantage Collection Round Conference Table	$223	5	4	Central	5076	42	4/22/2016	Second Class	Tables
September 2016	Furniture	United States	Oklahoma	$821.88	Tulsa	TB-21400	Tom Boeckenhauer	1	9/7/2016	CA-131002-2016_09_07	74133	FUR-FU-10004665	3M Polarizing Task Lamp with Clamp Arm, Light Gray	$247	6	6	Central	2649	35	9/12/2016	Second Class	Furnishings
December 2016	Furniture	United States	Texas	$8.62	Beaumont	SC-20305	Sean Christensen	1	12/16/2016	CA-113257-2016_12_16	77705	FUR-FU-10001706	Longer-Life Soft White Bulbs	$3	7	6	Central	9832	42	12/18/2016	Second Class	Furnishings
October 2016	Furniture	United States	Rhode Island	$385.69	Cranston	AM-10705	Anne McFarland	1	10/31/2016	CA-145387-2016_10_31	02920	FUR-TA-10003238	"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables"	$116	1	0	East	4210	38	11/2/2016	Second Class	Tables
October 2016	Furniture	United States	New Jersey	$245.98	Lakewood	ML-17395	Marina Lichtenstein	1	10/13/2016	CA-164742-2016_10_13	08701	FUR-CH-10002880	Global High-Back Leather Tilter, Burgundy	$74	2	2	East	5592	29	10/18/2016	Second Class	Chairs
December 2016	Furniture	United States	Ohio	$8.13	Columbus	JK-15730	Joe Kamberova	1	12/1/2016	CA-150798-2016_12_01	43229	FUR-FU-10000221	Master Caster Door Stop, Brown	$2	2	2	East	4493	34	12/3/2016	Second Class	Furnishings
November 2016	Furniture	United States	Pennsylvania	$23.97	Reading	TS-21430	Tom Stivers	1	11/11/2016	CA-155796-2016_11_11	19601	FUR-FU-10000409	GE 4 Foot Flourescent Tube, 40 Watt	$7	2	2	East	5955	37	11/15/2016	Second Class	Furnishings
October 2016	Furniture	United States	Rhode Island	$14.76	Cranston	AM-10705	Anne McFarland	1	10/31/2016	CA-145387-2016_10_31	02920	FUR-FU-10002364	Eldon Expressions Wood Desk Accessories, Oak	$4	2	2	East	4206	38	11/2/2016	Second Class	Furnishings
November 2016	Furniture	United States	Rhode Island	$52.96	Woonsocket	AR-10540	Andy Reiter	1	11/25/2016	CA-122588-2016_11_25	02895	FUR-FU-10001095	DAX Black Cherry Wood-Tone Poster Frame	$16	2	2	East	3990	38	11/27/2016	Second Class	Furnishings
November 2016	Furniture	United States	New York	$275.95	New York City	MP-18175	Mike Pelletier	1	11/25/2016	CA-119151-2016_11_25	10009	FUR-BO-10003159	Sauder Camden County Collection Libraries, Planked Cherry Finish	$83	3	2	East	4728	31	11/29/2016	Second Class	Bookcases
December 2016	Furniture	United States	New York	$192.19	New York City	SM-20950	Suzanne McNair	1	12/20/2016	CA-163412-2016_12_20	10035	FUR-CH-10004875	Harbour Creations 67200 Series Stacking Chairs	$58	3	2	East	7339	31	12/23/2016	Second Class	Chairs
May 2016	Furniture	United States	Ohio	$149.23	Akron	TT-21070	Ted Trevino	1	5/18/2016	CA-164224-2016_05_18	44312	FUR-FU-10000308	Deflect-o Glass Clear Studded Chair Mats	$45	3	2	East	3201	34	5/20/2016	Second Class	Furnishings
December 2016	Furniture	United States	Ohio	$182.35	Cleveland	KB-16315	Karl Braun	1	12/27/2016	US-159611-2016_12_27	44105	FUR-FU-10004904	"Eldon ""L"" Workstation Diamond Chairmat"	$55	3	2	East	8671	34	1/1/2017	Second Class	Furnishings
September 2016	Furniture	United States	Pennsylvania	$17.47	Philadelphia	LC-17140	Logan Currie	1	9/9/2016	CA-102869-2016_09_09	19140	FUR-FU-10002456	Master Caster Door Stop, Large Neon Orange	$5	3	2	East	3599	37	9/14/2016	Second Class	Furnishings
October 2016	Furniture	United States	Rhode Island	$17.67	Cranston	AM-10705	Anne McFarland	1	10/31/2016	CA-145387-2016_10_31	02920	FUR-FU-10000023	Eldon Wave Desk Accessories	$5	3	2	East	4208	38	11/2/2016	Second Class	Furnishings
December 2016	Furniture	United States	Pennsylvania	$523.76	Philadelphia	AR-10345	Alex Russell	1	12/30/2016	US-115189-2016_12_30	19143	FUR-TA-10004575	Hon 5100 Series Wood Tables	$157	3	2	East	7360	37	1/3/2017	Second Class	Tables
November 2016	Furniture	United States	Pennsylvania	$521.96	Reading	TS-21430	Tom Stivers	1	11/11/2016	CA-155796-2016_11_11	19601	FUR-BO-10002545	Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors	$157	4	4	East	5956	37	11/15/2016	Second Class	Bookcases
September 2016	Furniture	United States	New York	$117.36	New York City	LD-17005	Lisa DeCherney	1	9/29/2016	CA-124856-2016_09_29	10011	FUR-FU-10000521	"Seth Thomas 14"" Putty-Colored Wall Clock"	$35	4	4	East	5797	31	10/3/2016	Second Class	Furnishings
August 2016	Furniture	United States	Connecticut	$1,133.35	Meriden	RS-19420	Ricardo Sperren	1	8/5/2016	US-117968-2016_08_05	06450	FUR-CH-10002335	Hon GuestStacker Chair	$340	5	4	East	5867	6	8/7/2016	Second Class	Chairs
October 2016	Furniture	United States	Rhode Island	$1,604.90	Cranston	AM-10705	Anne McFarland	1	10/31/2016	CA-145387-2016_10_31	02920	FUR-CH-10002320	Hon Pagoda Stacking Chairs	$481	5	4	East	4209	38	11/2/2016	Second Class	Chairs
March 2016	Furniture	United States	Ohio	$8.32	Columbus	CK-12205	Chloris Kastensmidt	1	3/11/2016	CA-166884-2016_03_11	43229	FUR-FU-10003981	Eldon Wave Desk Accessories	$2	5	4	East	1542	34	3/16/2016	Second Class	Furnishings
September 2016	Furniture	United States	Massachusetts	$785.88	Lowell	RR-19525	Rick Reed	1	9/9/2016	CA-126403-2016_09_09	01852	FUR-CH-10003761	Global Italian Leather Office Chair	$236	6	6	East	2672	20	9/12/2016	Second Class	Chairs
September 2016	Furniture	United States	New York	$3,785.29	New York City	LW-17215	Luke Weiss	1	9/12/2016	CA-116246-2016_09_12	10035	FUR-CH-10002024	HON 5400 Series Task Chairs for Big and Tall	$1,136	6	6	East	9426	31	9/17/2016	Second Class	Chairs
December 2016	Furniture	United States	Ohio	$909.72	Columbus	JK-15730	Joe Kamberova	1	12/1/2016	CA-150798-2016_12_01	43229	FUR-CH-10000015	Hon Multipurpose Stacking Arm Chairs	$273	6	6	East	4495	34	12/3/2016	Second Class	Chairs
December 2016	Furniture	United States	New York	$1,573.49	Watertown	PC-18745	Pamela Coakley	1	12/31/2016	CA-150245-2016_12_31	13601	FUR-BO-10002613	Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors	$472	7	6	East	1546	31	1/4/2017	Second Class	Bookcases
May 2016	Furniture	United States	Pennsylvania	$349.96	Philadelphia	AF-10885	Art Foster	1	5/10/2016	CA-114181-2016_05_10	19134	FUR-BO-10004467	Bestar Classic Bookcase	$105	7	6	East	7555	37	5/14/2016	Second Class	Bookcases
December 2016	Furniture	United States	Pennsylvania	$445.80	Philadelphia	EB-13705	Ed Braxton	1	12/15/2016	CA-129938-2016_12_15	19140	FUR-CH-10003774	Global Wood Trimmed Manager's Task Chair, Khaki	$134	7	6	East	7484	37	12/17/2016	Second Class	Chairs
May 2016	Furniture	United States	New Hampshire	$139.86	Dover	RF-19345	Randy Ferguson	1	5/20/2016	US-114188-2016_05_20	03820	FUR-FU-10000076	24-Hour Round Wall Clock	$42	7	6	East	2132	28	5/22/2016	Second Class	Furnishings
October 2016	Furniture	United States	Ohio	$1,421.66	Lorain	AJ-10780	Anthony Jacobs	1	10/31/2016	CA-108609-2016_10_31	44052	FUR-TA-10003954	Hon 94000 Series Round Tables	$426	8	8	East	6640	34	11/2/2016	Second Class	Tables
December 2016	Furniture	United States	Florida	$64.78	Tampa	CC-12670	Craig Carreira	1	12/23/2016	CA-154158-2016_12_23	33614	FUR-CH-10004698	Padded Folding Chairs, Black, 4/Carton	$19	1	0	South	9381	9	12/27/2016	Second Class	Chairs
April 2016	Furniture	United States	Louisiana	$51.96	Lake Charles	HG-14845	Harry Greene	1	4/29/2016	CA-142727-2016_04_29	70601	FUR-CH-10002304	Global Stack Chair without Arms, Black	$16	2	2	South	2891	17	5/1/2016	Second Class	Chairs
January 2016	Furniture	United States	Florida	$25.25	Miami	TB-21400	Tom Boeckenhauer	1	1/21/2016	CA-110422-2016_01_21	33180	FUR-FU-10001889	Ultra Door Pull Handle	$8	3	2	South	9990	9	1/23/2016	Second Class	Furnishings
August 2016	Furniture	United States	Florida	$174.06	Miami	RA-19945	Ryan Akin	1	8/29/2016	CA-169775-2016_08_29	33178	FUR-TA-10001857	Balt Solid Wood Rectangular Table	$52	3	2	South	1900	9	9/2/2016	Second Class	Tables
August 2016	Furniture	United States	Florida	$155.46	Jacksonville	VG-21790	Vivek Gonzalez	1	8/8/2016	CA-156790-2016_08_08	32216	FUR-BO-10000468	O'Sullivan 2-Shelf Heavy-Duty Bookcases	$47	4	4	South	8955	9	8/10/2016	Second Class	Bookcases
November 2016	Furniture	United States	South Carolina	$397.60	Columbia	CS-12250	Chris Selesnick	1	11/28/2016	CA-101560-2016_11_28	29203	FUR-FU-10003773	Eldon Cleatmat Plus Chair Mats for High Pile Carpets	$119	5	4	South	5193	39	12/1/2016	Second Class	Furnishings
October 2016	Furniture	United States	Alabama	$545.88	Montgomery	AS-10225	Alan Schoenberger	1	10/18/2016	CA-110408-2016_10_18	36116	FUR-CH-10003774	Global Wood Trimmed Manager's Task Chair, Khaki	$164	6	6	South	1978	1	10/20/2016	Second Class	Chairs
January 2016	Furniture	United States	South Carolina	$545.94	Mount Pleasant	ND-18370	Natalie DeCherney	1	1/13/2016	CA-109232-2016_01_13	29464	FUR-CH-10000422	Global Highback Leather Tilter in Burgundy	$164	6	6	South	2979	39	1/16/2016	Second Class	Chairs
December 2016	Furniture	United States	Virginia	$29.46	Springfield	LE-16810	Laurel Elliston	1	12/16/2016	CA-100706-2016_12_16	22153	FUR-FU-10002268	Ultra Door Push Plate	$9	6	6	South	9021	45	12/18/2016	Second Class	Furnishings
June 2016	Furniture	United States	Virginia	$1,441.30	Harrisonburg	FO-14305	Frank Olsen	1	6/9/2016	CA-132612-2016_06_09	22801	FUR-TA-10004534	Bevis 44 x 96 Conference Tables	$432	7	6	South	1812	45	6/11/2016	Second Class	Tables
December 2016	Furniture	United States	Florida	$1,013.83	Hialeah	KB-16585	Ken Black	1	12/16/2016	CA-153913-2016_12_16	33012	FUR-CH-10000988	Hon Olson Stacker Stools	$304	9	8	South	3769	9	12/20/2016	Second Class	Chairs
December 2016	Furniture	United States	Alabama	$1,819.86	Florence	IM-15070	Irene Maddox	1	12/19/2016	CA-120768-2016_12_19	35630	FUR-CH-10000513	High-Back Leather Manager's Chair	$546	14	14	South	1434	1	12/21/2016	Second Class	Chairs
November 2016	Furniture	United States	California	$120.71	Sacramento	EH-13990	Erica Hackney	1	11/24/2016	CA-102295-2016_11_24	95823	FUR-CH-10001714	Global Leather & Oak Executive Chair, Burgundy	$36	1	0	West	2367	4	11/26/2016	Second Class	Chairs
October 2016	Furniture	United States	California	$143.43	Los Angeles	AR-10405	Allen Rosenblatt	1	10/3/2016	CA-157882-2016_10_03	90036	FUR-TA-10001866	Bevis Round Conference Room Tables and Bases	$43	1	0	West	2275	4	10/8/2016	Second Class	Tables
December 2016	Furniture	United States	Oregon	$275.49	Springfield	RC-19960	Ryan Crowe	1	12/6/2016	US-112872-2016_12_06	97477	FUR-TA-10003238	"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables"	$83	1	0	West	2985	36	12/11/2016	Second Class	Tables
September 2016	Furniture	United States	California	$145.57	Los Angeles	KT-16465	Kean Takahito	1	9/26/2016	US-151925-2016_09_26	90049	FUR-CH-10002961	Leather Task Chair, Black	$44	2	2	West	1360	4	10/1/2016	Second Class	Chairs
March 2016	Furniture	United States	California	$40.48	Fresno	MS-17710	Maurice Satty	1	3/24/2016	CA-143637-2016_03_24	93727	FUR-FU-10002813	DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size	$12	2	2	West	7802	4	3/29/2016	Second Class	Furnishings
December 2016	Furniture	United States	California	$6.16	San Diego	JO-15280	Jas O'Carroll	1	12/15/2016	CA-116673-2016_12_15	92037	FUR-FU-10003829	Stackable Trays	$2	2	2	West	5584	4	12/19/2016	Second Class	Furnishings
June 2016	Furniture	United States	Nevada	$37.40	North Las Vegas	TS-21205	Thomas Seio	1	6/9/2016	CA-160262-2016_06_09	89031	FUR-FU-10002685	"Executive Impressions 13-1/2"" Indoor/Outdoor Wall Clock"	$11	2	2	West	4957	27	6/13/2016	Second Class	Furnishings
September 2016	Furniture	United States	Washington	$6.16	Seattle	PP-18955	Paul Prost	1	9/29/2016	CA-126683-2016_09_29	98115	FUR-FU-10001706	Longer-Life Soft White Bulbs	$2	2	2	West	5626	46	10/1/2016	Second Class	Furnishings
November 2016	Furniture	United States	Colorado	$145.98	Louisville	PW-19240	Pierre Wener	1	11/18/2016	CA-164210-2016_11_18	80027	FUR-TA-10000849	Bevis Rectangular Conference Tables	$44	2	2	West	2438	5	11/20/2016	Second Class	Tables
December 2016	Furniture	United States	California	$254.97	Fresno	NP-18700	Nora Preis	1	12/12/2016	CA-168494-2016_12_12	93727	FUR-BO-10004467	Bestar Classic Bookcase	$76	3	2	West	1248	4	12/14/2016	Second Class	Bookcases
October 2016	Furniture	United States	California	$122.35	Los Angeles	AR-10405	Allen Rosenblatt	1	10/3/2016	CA-157882-2016_10_03	90036	FUR-CH-10002774	Global Deluxe Stacking Chair, Gray	$37	3	2	West	2276	4	10/8/2016	Second Class	Chairs
July 2016	Furniture	United States	California	$717.72	San Francisco	NP-18325	Naresj Patel	1	7/22/2016	CA-117464-2016_07_22	94122	FUR-CH-10000155	Global Comet Stacking Armless Chair	$215	3	2	West	7168	4	7/24/2016	Second Class	Chairs
November 2016	Furniture	United States	California	$23.88	Brentwood	LW-16825	Laurel Workman	1	11/25/2016	CA-164721-2016_11_25	94513	FUR-FU-10001940	Staple-based wall hangings	$7	3	2	West	1985	4	11/27/2016	Second Class	Furnishings
December 2016	Furniture	United States	California	$12.54	Oakland	LH-17155	Logan Haushalter	1	12/12/2016	CA-113320-2016_12_12	94601	FUR-FU-10004270	Eldon Image Series Desk Accessories, Burgundy	$4	3	2	West	4854	4	12/15/2016	Second Class	Furnishings
December 2016	Furniture	United States	California	$9.24	Oakland	LH-17155	Logan Haushalter	1	12/12/2016	CA-113320-2016_12_12	94601	FUR-FU-10001706	Longer-Life Soft White Bulbs	$3	3	2	West	4856	4	12/15/2016	Second Class	Furnishings
April 2016	Furniture	United States	California	$76.14	San Jose	NF-18595	Nicole Fjeld	1	4/19/2016	CA-169460-2016_04_19	95123	FUR-FU-10004017	"Executive Impressions 13"" Chairman Wall Clock"	$23	3	2	West	4570	4	4/21/2016	Second Class	Furnishings
July 2016	Furniture	United States	California	$170.35	San Francisco	NP-18325	Naresj Patel	1	7/22/2016	CA-117464-2016_07_22	94122	FUR-TA-10004767	Safco Drafting Table	$51	3	2	West	7170	4	7/24/2016	Second Class	Tables
October 2016	Furniture	United States	Washington	$63.92	Seattle	AH-10585	Angele Hood	1	10/26/2016	CA-162278-2016_10_26	98105	FUR-FU-10000448	Tenex Chairmats For Use With Carpeted Floors	$19	4	4	West	4305	46	10/30/2016	Second Class	Furnishings
December 2016	Furniture	United States	Washington	$603.92	Olympia	JK-15625	Jim Karlsson	1	12/8/2016	CA-135608-2016_12_08	98502	FUR-CH-10002602	DMI Arturo Collection Mission-style Design Wood Chair	$181	5	4	West	3716	46	12/10/2016	Second Class	Chairs
December 2016	Furniture	United States	California	$764.69	Fresno	NP-18700	Nora Preis	1	12/12/2016	CA-168494-2016_12_12	93727	FUR-TA-10004619	Hon Non-Folding Utility Tables	$229	6	6	West	1246	4	12/14/2016	Second Class	Tables
June 2016	Furniture	United States	Washington	$515.88	Seattle	SC-20725	Steven Cartwright	1	6/3/2016	CA-135657-2016_06_03	98115	FUR-TA-10004086	KI Adjustable-Height Table	$155	6	6	West	1700	46	6/7/2016	Second Class	Tables
